"|","|__0","|__1","|__2","|__3","|__4","|__5","|__6","|__7","|__8","|__9","|__10","|__11","|__12","|__13","|__14","|__15","|__16","|__17","|__18","|__19","|__20","|__21","|__22","|__23","|__24","|__25","|__26","|__27","|__28","|__29","|__30","|__31","|__32","|__33","|__34","|__35","|__36","|__37","|__38","|__39","|__40","|__41","|__42","|__43","|__44","|__45","|__46","|__47","|__48","|__49","|__50","|__51","|__52","|__53","|__54","|__55","|__56","|__57","|__58","|__59","|__60","|__61","|__62","|__63","|__64","|__65","|__66","|__67","|__68","|__69","|__70","|__71","|__72","|__73","|__74","|__75","|__76","|__77","|__78","|__79","|__80","|__81","|__82","|__83","|__84","|__85","|__86","|__87","|__88","|__89","|__90","|__91"
"Date","1996-02-29","1996-05-31","1996-08-31","1996-11-30","1997-02-28","1997-05-31","1997-08-31","1997-11-30","1998-02-28","1998-05-31","1998-08-31","1998-11-30","1999-02-28","1999-05-31","1999-08-31","1999-11-30","2000-02-29","2000-05-31","2000-08-31","2000-11-30","2001-02-28","2001-05-31","2001-08-31","2001-11-30","2002-02-28","2002-05-31","2002-08-31","2002-11-30","2003-02-28","2003-05-31","2003-08-31","2003-11-30","2004-02-29","2004-05-31","2004-08-31","2004-11-30","2005-02-28","2005-05-31","2005-08-31","2005-11-30","2006-02-28","2006-05-31","2006-08-31","2006-11-30","2007-02-28","2007-05-31","2007-08-31","2007-11-30","2008-02-29","2008-05-31","2008-08-31","2008-11-30","2009-02-28","2009-05-31","2009-08-31","2009-11-30","2010-02-28","2010-05-31","2010-08-31","2010-11-30","2011-02-28","2011-05-31","2011-08-31","2011-11-30","2012-02-29","2012-05-31","2012-08-31","2012-11-30","2013-02-28","2013-05-31","2013-08-31","2013-11-30","2014-02-28","2014-05-31","2014-08-31","2014-11-30","2015-02-28","2015-05-31","2015-08-31","2015-11-30","2016-02-29","2016-05-31","2016-08-31","2016-11-30","2017-02-28","2017-05-31","2017-08-31","2017-11-30","2018-02-28","2018-05-31","2018-08-31","2018-11-30"
"Season","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH"
"WB","4.350236686","6.265475113","2.804846626","3.576298003","4.960725309","6.335698587","2.674233937","3.801028939","4.772051282","5.696910569","3.366674528","3.240821018","5.051173633","6.998279933","2.977764706","3.325711948","4.688228477","6.269368259","3.169951378","3.780853081","5.160174326","6.261900958","3.10762226","3.998707593","5.625164474","6.245709677","3.33642623","3.747528642","5.030815972","6.209029605","3.713152542","3.091825193","4.56287037","6.53221458","3.99165075","3.735475234","5.145624196","6.569416446","4.189406452","3.73613489","4.876066946","6.866849866","3.654644013","4.045343915","5.534868421","6.757107558","3.173842444","3.434580645","5.05757079","6.326344411","3.314473282","3.947930514","5.428157504","6.388319739","4.089587459","4.43642527","5.634867807","7.555481833","5.506381579","5.347732116","6.126759124","7.832450091","3.58845339","4.422025862","5.315982721","7.149219858","4.82","5.674146341","6.592361607","8.472178301","5.015450237","4.505393258","5.910248329","7.933935419","5.193479561","6.300674956","7.051447106","7.687818004","4.870708738","6.538069815","8.159773913","7.322298246","3.72341534","4.998872727","6.28398317","6.933478261","4.519528796","4.664603175","6.562443559","7.721836735","4.648548009","6.169974811"
"JK","5.454320988","6.650123457","3.1455","4.524303797","5.256455696","6.410769231","3.789746835","4.473902439","5.557195122","6.116395349","4.287380952","4.982988506","5.641927711","6.901204819","4.929651163","5.450681818","6.211460674","7.19060241","4.976707317","5.951829268","6.456428571","7.24164557","4.612682927","5.563452381","6.681973684","8.475344828","5.6012","5.997662338","7.178933333","7.460675676","4.695","5.5028","6.5293","7.4024","4.695","5.5028","6.100373134","6.575142857","4.521363636","5.431911765","6.156115108","7.098571429","4.345652174","4.909071429","5.562714286","5.949568345","4.112553191","5.162957746","5.832464789","6.860492958","4.110296296","5.166028369","5.685294118","7.002279412","5.317372263","6.451865672","7.239389313","7.85092437","4.277835821","5.183307692","5.788396947","6.62880597","4.596377953","5.006153846","5.693712121","6.640208333","4.21494","4.902315789","5.509626866","6.103558559","3.523939394","4.379867841","4.909045226","5.142644628","4.461637931","4.351718062","4.975765306","4.525619469","3.624026549","4.316284404","4.428695652","5.683555556","3.752532751","4.764497817","5.358275862","6.016060606","3.706497696","4.666342412","5.118161435","5.2375","4.114157303","5.123142857"
"PB","8.150973451","8.671362319","7.159136905","8.013665689","7.375131965","8.711477987","7.152307692","8.094654088","7.131374663","7.393261538","7.37504451","6.454230769","6.703757962","7.213527508","7.547641791","7.639492063","7.258461538","7.855945946","7.932775801","7.632342007","8.081271478","8.025542169","7.718841699","8.37959854","8.024615385","9.281190476","9.997222222","9.477336066","9.474879032","9.503624454","9.550933333","9.511555556","9.165720339","9.986550218","10.04966667","9.884084507","9.487281553","10.32643564","10.0197449","9.63026178","9.728306011","10.22015464","10.35954545","10.06961111","10.20027933","10.58848168","10.91917526","11.26014925","10.78775956","11.62818182","10.81169312","11.04015306","11.3209","11.93517949","11.97086486","11.70747312","11.17778351","12.34088542","11.58245399","11.43296703","11.32888325","12.47457895","11.02251572","11.08044586","11.1756051","11.34391892","15.96666667","14.95726218","14.46042328","15.44321918","14.70780731","14.25066781","13.28087156","14.13452813","15.28742515","14.98095376","14.44755747","14.74631793","15.71935484","16.04597325","17.12395973","14.63090604","14.42427509","16.87567146","16.39864303","16.30451264","15.4881362","17.19628065","16.89757534","16.40705882","16.43211155","23.08289474"
"TR","3.5725","3.06125","2.87625","3.2395","4.073809524","4.078095238","2.3","3.395294118","4.2","3.784117647","2.951875","3.409230769","3.737777778","5.141764706","2.98875","4.083636364","4.437692308","3.9875","1.877142857","2.892352941","3.561666667","3.457272727","2.6344","2.48875","3.246666667","3.59826087","2.337619048","2.838846154","3.462068966","3.10037037","2.86962963","3.0216","3.545416667","3.312758621","2.67","2.778214286","3.622142857","3.176333333","2.772068966","2.762068966","3.784827586","4.039642857","3.321764706","2.977741935","4.648857143","3.4608","2.368518519","2.6536","4.784375","4.5095","3.699705882","3.634242424","4.704545455","4.5095","3.083125","5.157941176","6.251142857","4.5095","4.263030303","4.934242424","5.957647059","4.5095","4.312727273","4.958484848","6.176571429","4.5095","4.5029","5.521891892","5.222727273","5.472941176","5.03","5.394571429","5.420810811","6.536","4.406","6.713333333","6.034722222","6.305128205","4.638378378","4.754054054","4.873076923","6.284722222","3.585","3.122413793","3.474444444","3.923666667","2.665","2.698148148","2.846190476","8.45125","1.505714286","5.153846154"
"ML","2.989615385","2.5875","1.819565217","1.864230769","2.322173913","2.753478261","1.7824","1.978518519","2.610740741","2.5276","1.492222222","2.102666667","2.469333333","2.929545455","1.3275","2.076666667","2.815","2.89","1.645652174","2.069166667","2.653913043","2.743846154","1.747407407","1.882","2.843703704","1.871071429","1.553333333","2.357037037","2.715862069","2.361333333","1.816666667","2.448846154","2.601111111","2.6644","1.776521739","2.484","3.0396","1.9488","1.756666667","1.8512","2.4675","2.6608","2.064347826","5.513928571","6.27","2.102962963","1.910952381","2.176923077","3.115185185","2.844","2.15","2.341153846","3.343076923","2.844","1.512222222","2.235","2.937857143","2.844","2.067916667","2.118","3.112","2.844","2.0344","2.4364","3.456785714","2.844","1.82988","2.509642857","2.924482759","3.603846154","1.807222222","1.461428571","2.107272727","4.055","1.41","1.525","3.499375","3.195714286","2.060588235","2.486","3.165882353","3.204117647","2.098947368","2.195555556","2.691666667","3.37952381","1.955714286","2.248888889","3.005294118","3.714","2.56","2.101304348"
"MN","null","null","null","null","null","null","null","null","null","2.53","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","2.335714286","2.571428571","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","1.2","1.7","null","null","null","null","3.11","null","null","2.29","null","4.2","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"BR","3.93368","5.00377193","2.262396694","3.112279202","3.749878049","5.091856678","1.961254019","3.030730337","3.3265625","4.727506925","1.853568627","2.63940678","3.286051873","4.751737968","1.684862385","2.596950147","3.430060606","4.68301105","1.996974063","3.005781711","3.666127946","5.110774194","2.102947977","2.917964072","3.149186992","4.751876833","2.358825301","3.11745509","3.662639752","4.746930693","2.260480349","2.995589354","3.558811475","4.743559322","2.543954545","3.452","3.855517241","5.27042623","2.840141343","3.67347079","4.310166667","5.335068493","2.957758007","3.258413284","4.261438596","5.370711462","2.081751825","2.965960784","3.949111111","5.224522822","1.774512821","3.514493392","3.892357724","5.504220183","3.387469388","3.577004219","4.731799163","6.14836","3.963053435","4.482988506","5.025253623","6.19440613","2.98896679","3.261085271","3.860311284","5.761407407","3.2268","3.789739777","5.176548223","5.501439791","3.209150418","3.213526316","4.175906314","5.506155462","2.74625","3.270730689","4.078718447","5.476987768","3.497359098","4.388421053","4.900783699","6.173605547","3.190872483","3.456970199","4.158496835","5.685157421","2.935155763","3.870269841","4.64760355","6.8575","3.734136292","5.584285714"
"HP","57.77","8.9365","3.55","6.799047619","9.407222222","8.9365","6.869230769","9.163953488","8.536716418","9.074848485","7.045","6.152340426","8.281818182","8.925909091","5.362321429","6.922857143","8.658918919","7.902638889","6.6222","7.91875","4.87","9.842857143","5.665428571","7.222941176","8.10915493","9.698589744","8.416233766","7.552727273","8.283896104","9.942307692","7.343333333","7.533417722","7.945897436","9.2735","7.401375","7.815064935","8.350632911","9.042179487","7.664074074","7.63746988","9.128902439","9.719878049","7.236024096","8.225662651","9.451445783","8.437564103","6.265844156","8.411875","8.343333333","10.24878049","6.759871795","7.073544304","7.069746835","9.777901235","7.674","7.076351351","7.287368421","8.365373134","5.036842105","6.245194805","6.502465753","7.9232","4.689295775","6.023466667","6.954861111","8.206575342","4.862857143","6.140470588","7.314893617","8.192692308","4.816947368","5.983267327","7.005111111","6.753619048","5.39959596","4.972325581","6.593152174","6.727857143","4.794242424","5.826842105","6.801290323","7.977204301","5.555918367","6.712040816","6.650114943","7.283222222","4.793670886","6.278865979","6.128333333","13.99666667","5.650555556","5.419195402"
"JH","5.626827957","7.176228571","2.832198953","4.8780625","5.334894737","7.126296296","2.769464286","4.214751381","4.825743243","6.665972222","2.848623188","3.720298507","5.387777778","7.307142857","2.662877698","3.49245283","4.887753623","6.919078947","3.50275","4.538451613","5.824177215","7.444248366","3.257777778","4.206478873","5.560121212","8.035177305","4.143397436","4.253536585","5.836097561","7.567735849","3.781751825","4.238768116","5.143706897","7.35128","3.895074627","4.242408759","5.631733333","8.205780347","4.712564103","5.110180723","5.773625","7.889863014","3.132147239","3.90126506","5.434142857","7.78254902","2.852544379","4.037409639","5.373212121","7.660123457","2.687","4.196130952","5.503741935","7.636971429","4.912674419","4.736746988","5.877514124","8.479832402","6.1804","6.537647059","7.064","8.742391304","3.336129032","4.348439306","5.34726257","8.202752809","4.2803","4.697235772","5.912857143","7.804494382","4.202621359","3.461563786","5.091287554","7.088083333","3.40225","4.706967213","5.771330472","6.361330275","3.522741313","5.297238494","6.228983051","7.792961373","3.253684211","4.424678899","5.4688125","7.978722467","3.231089109","4.264589372","5.869903846","7.357647059","4.138","4.967201646"
"GA","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","5.743191489","6.89372093","4.482666667","5.094680851","5.676190476","6.093809524","3.988157895","5.136315789","5.473181818","6.381363636","3.509268293","4.814285714","5.305609756","5.423939394","3.805","5.167317073","5.75952381","6.754888889","4.010789474","4.944857143","4.983414634","6.444545455","3.935777778","4.447380952","5.467906977","6.360681818","3.067179487","4.6445","4.784571429","6.443953488","3.511","4.533902439","5.570227273","6.502051282","3.237671233","4.478450704","5.62326087","6.246363636","3.806582278","4.153181818","4.83425","6.047317073","3.861449275","4.378636364","4.952333333","6.122835821","3.269482759","4.405217391","5.129666667","4.854444444","2.804528302","4.377846154","5.177714286","4.165","3.305641026","5.036333333"
"OD","3.713777019","5.923356243","2.343993015","3.616291619","4.848198614","5.695353774","1.750910152","3.177889273","4.049646925","5.307607433","2.971770223","2.761545667","4.181216686","5.843574007","2.447024221","4.149230769","4.035691057","5.530943168","2.415204819","3.696686532","4.757609988","5.928105395","1.547055288","3.065160523","4.313546441","5.823745174","2.750472441","3.828309693","5.023482032","6.040109439","2.008035044","2.304007398","4.149189542","5.740217391","2.222887768","3.057989822","4.597512563","5.767856155","2.095239437","2.983374422","4.627754078","5.705050891","1.315817942","2.827592593","4.249341398","5.49896732","1.873285024","2.797381242","4.361970979","5.687315789","1.796638773","2.821428571","4.085507246","5.680256082","1.828818297","2.861651255","4.203064516","5.766516291","2.67991128","2.87785347","3.994980494","5.19835966","2.423445274","3.261824645","4.254299401","5.763381089","2.322","3.034994413","4.184672897","5.369564475","2.410558333","2.357125506","3.40175188","4.861262064","1.777375367","2.609355311","3.659885222","4.918230422","2.273456604","3.301504891","3.913309038","5.302511811","2.392640604","3.186384943","4.14870632","5.514602574","2.341950845","2.581572948","3.79227907","4.941904762","1.624086496","3.024019608"
"TG","57.77","8.9365","3.55","6.799047619","9.407222222","8.9365","6.869230769","9.163953488","8.536716418","9.074848485","7.045","6.152340426","8.281818182","8.925909091","5.362321429","6.922857143","8.658918919","7.902638889","6.6222","7.91875","4.87","9.842857143","5.665428571","7.222941176","8.10915493","9.698589744","8.416233766","7.552727273","8.283896104","9.942307692","7.343333333","7.533417722","7.945897436","9.2735","7.401375","7.815064935","8.350632911","9.042179487","7.664074074","7.63746988","9.128902439","9.719878049","7.236024096","8.225662651","9.451445783","8.437564103","6.265844156","8.411875","8.343333333","10.24878049","6.759871795","7.073544304","7.069746835","9.777901235","7.674","7.076351351","7.287368421","8.365373134","5.036842105","6.245194805","6.502465753","7.9232","4.689295775","6.023466667","6.954861111","8.206575342","4.862857143","6.140470588","7.314893617","8.192692308","4.816947368","5.983267327","7.005111111","6.753619048","5.39959596","4.972325581","6.593152174","6.727857143","4.794242424","5.826842105","6.801290323","7.977204301","5.555918367","6.712040816","6.650114943","7.283222222","4.793670886","6.278865979","6.128333333","13.99666667","5.650555556","5.419195402"
"GJ","10.94669118","14.03246154","10.5068323","11.62009143","12.20397875","13.44582547","9.708643411","10.44112069","11.58362336","14.05306236","10.1243728","10.06133566","10.9743743","13.15346491","12.26685355","12.04252903","13.41664781","14.95939739","12.20406417","13.2388145","14.35775777","15.86632327","9.726489971","11.56632931","11.87076563","15.25490066","12.19980803","14.09350674","13.60824532","15.93279441","9.682201705","10.52940934","11.90668985","13.83754072","5.737261905","11.74800566","12.8152973","14.981","10.85291034","11.9134811","12.49171934","14.89524804","9.290596817","10.59506008","12.6896066","13.97391805","8.933197756","10.2262069","11.23519256","13.07136486","10.20797003","10.24217274","11.44397653","14.65208333","10.78470828","11.67296496","14.34896783","15.61429333","10.17149171","11.38547712","11.85929708","12.99090909","10.30179207","11.20975806","12.69981481","16.83021171","12.839","17.11618881","15.99338498","18.06967083","14.23090212","12.73943207","16.87938836","19.10545549","16.65221282","12.84339773","15.36461207","17.14490741","12.88225589","13.1862268","16.36818898","16.64584305","13.28703285","13.39696677","15.33792059","17.40448164","12.38057252","12.47758323","13.87794872","27.96820144","7.858965517","22.5703096"
"AR","6.327777778","2.520909091","2.23","2.442","3.228461538","3.785454545","2.991666667","3.055454545","3.329090909","3.204545455","1.975555556","3.668181818","4.275555556","4.485555556","3.03625","3.871818182","4.358571429","3.146666667","1.938571429","3.482222222","4.6675","5.682","2.455","3.802142857","4.392727273","4.173333333","2.546666667","3.272307692","4.129333333","2.782","2.241538462","3.275","4.632857143","2.098333333","2.305714286","3.51","4.958333333","2.856428571","2.043846154","3.045833333","4.826923077","4.053846154","2.776153846","3.926","4.073333333","3.504166667","2.87","3.521538462","4.47","3.94555","2.002307692","3.72","5.079166667","3.94555","2.511111111","3.72","5.375","3.94555","2.476","3.538181818","5.004615385","3.94555","2.126666667","3.958333333","4.814444444","3.94555","1.976","3.690909091","4.801818182","4.441818182","2.42","3.52","4.549090909","4.840833333","0.8825","3.417272727","4.573333333","5.409285714","1.477272727","3.590714286","3.548333333","4.676428571","2.268888889","3.625","4.367857143","4.818333333","1.947692308","2.85","5.796","4.54","5.31","4.571"
"CG","5.113005618","7.554432432","2.381147059","3.962630058","5.557162921","7.730796703","3.322757576","3.834617564","4.386151685","6.687055556","2.807209302","3.217707736","4.275631399","7.470549133","2.704620253","3.396432927","5.11057971","7.045471125","3.566825843","4.623649425","5.964243243","8.055929487","2.005071225","3.67161194","5.016745562","7.806867816","3.962357955","4.844173669","6.20535014","8.252626866","3.065232877","2.788654434","4.341612903","7.255938303","2.177834225","3.922722222","5.599884527","7.731459227","3.206951754","3.787420043","5.288186047","7.79645977","2.522435233","3.963870968","5.690979899","8.139213483","3.015071633","3.718991354","5.382115942","7.462532637","2.93872818","4.306361323","5.665394089","8.147426273","3.587468031","4.488283379","5.789137466","8.187621622","3.558680352","4.15747851","5.599081081","7.830511364","2.677173252","4.212537313","4.809410029","7.869831461","2.9611","4.902670068","6.764070513","8.760946782","2.845725289","4.766513076","6.054262102","8.302176166","2.763134796","3.922618421","6.357350543","7.595405046","3.445083565","5.0","7.493399015","9.215644556","3.76889715","4.6162875","6.485472393","8.621152318","3.688288509","4.903649815","6.809617834","7.716181818","3.672554745","5.23318408"
"NL","null","2.46","null","3.61","null","2.11","null","null","null","1.92","0.96","4.16","2.73","null","1.48","2.9775","null","1.37","0.87","2.1","3.23","5.245","null","null","null","null","null","null","null","3.917333333","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","6.20875","3.811111111","4.493333333","5.555","null","3.948181818","3.31","6.6575","null","4.2475","4.7075","null","null","5.384615385","null","6.933333333","null","null","null","null","null","null","5.646666667","null","7.585","null","5.02","6.259333333","7.49","null","null","4.903333333","6.807142857","4.012727273","3.673333333","5.029","6.730625","4.832","null","3.94","4.796666667","null","2.59","null","null","null","2.923333333"
"AS","3.3172","2.836772908","2.025511111","2.561133603","3.408603604","3.563799127","2.140675676","3.036121495","3.581836735","3.055586854","1.877835052","2.821519608","3.669029126","4.175472637","1.925692308","2.682121212","3.720314136","3.239591837","1.734401914","2.724190476","3.501207729","3.274581281","2.185630631","2.629620853","3.519330144","2.789560976","1.974568966","2.902183406","3.532715517","2.936759259","1.869508929","2.569464286","3.457465438","2.43795122","2.156203209","2.662682927","3.510528634","2.773761905","1.769903846","2.641509434","3.678762887","3.184103774","2.525172414","3.008815166","3.671792453","3.011530055","1.802582418","2.868730159","4.125991189","3.407","1.615238095","2.7142","4.275194175","3.407","1.737103825","2.865281385","4.254034335","3.407","1.79595","2.698994709","3.875526316","3.407","2.361956522","2.833943662","4.451062802","3.407","2.0217","2.64294686","3.529509346","3.885459768","2.116235955","2.811145833","3.459591837","3.961097561","1.810833333","2.740571429","3.6109","3.940601852","1.746342857","2.623050847","3.548928571","4.394462366","2.253051948","3.135333333","4.000819672","4.150727273","2.853584906","2.609532164","3.421513158","3.7305","1.294","2.934915254"
"HR","8.233126492","8.941227154","8.170497238","7.979190601","8.003832924","8.949867374","8.737231183","8.049376694","8.159558442","7.97110119","8.001424658","6.901229508","7.147615385","7.914345048","8.416684783","8.323297297","8.43299169","8.910224359","9.15184","8.249835526","9.296621622","9.889832402","9.766176471","9.484309392","9.680786164","10.42063712","10.69677686","10.76831429","10.60116477","10.9111831","10.39567867","10.02084239","9.688910082","10.15685792","10.31504373","10.02737127","10.26921409","12.61754491","10.13463343","9.962102102","10.48035294","11.55928161","11.13099398","10.69009146","11.33777778","10.70006061","10.82969136","10.94484746","10.6214791","11.41329932","11.28996633","11.19663333","10.88111864","11.50620462","11.6386755","11.52066038","11.30419244","12.22993056","11.18374558","11.31115385","10.82328076","11.65017857","11.24569536","11.00022082","14.46677852","15.59005348","17.09588235","14.36820128","11.54805031","14.35293839","11.58219101","14.53853468","12.52853211","14.11365729","11.0229798","14.16154472","11.51132404","15.20622093","13.03417722","14.62608108","17.94928571","14.86581921","11.93837209","15.20988372","17.7685641","15.68886905","11.29430108","14.66881459","15.35956835","16.10647059","15.14210714","24.7849505"
"CH","8.4625","6.875","5.795","9.533333333","10.09666667","6.787","11.734","7.3675","7.0925","6.683333333","11.734","6.56","8.494","10.64666667","12.83571429","12.95142857","11.84571429","12.47833333","14.16","12.18142857","11.77666667","13.67555556","13.145","10.665","13.13666667","12.92888889","12.73875","12.12375","12.59833333","12.925","13.46166667","12.85428571","12.01714286","12.895","12.63166667","12.76833333","12.72666667","13.01333333","16.19857143","16.44285714","16.03428571","13.92333333","12.174","12.252","12.882","12.25666667","17.622","18.5225","18.57916667","15.05125","13.2125","16.3175","12.54714286","16.97625","18.63","17.96363636","14.686","16.703","15.423","15.676","15.828","18.31181818","16.19727273","17.92636364","20.47375","16.43166667","20.948","21.99782609","21.76631579","24.16590909","24.83454545","25.04045455","21.4395","21.66857143","27.34","15.55466667","17.37","17.76625","15.83071429","21.69428571","19.718125","17.75555556","13.73538462","19.70214286","21.65588235","25.9425","20.89166667","23.62444444","25.24846154","45.83","23.72111111","37.245"
"RJ","20.05248996","20.99865819","19.40343653","19.69494709","19.83269333","21.15890646","18.64817931","19.46386719","19.63139597","20.86992084","20.75069182","20.66107879","21.22968867","22.00852905","22.1847343","22.38697006","23.31052257","23.66283355","22.357034","23.66426844","24.073675","24.98144531","21.46957816","22.32915","22.37288092","24.10057389","23.30737637","24.64822443","24.05886095","25.80840874","21.2254","6.0","22.053","23.713","21.2254","18.904","20.83377282","22.37546512","20.5121619","20.11322612","20.94833828","22.57039003","19.08448802","19.42357759","20.27702282","22.44635754","20.62218427","20.91391906","21.40129512","23.09408627","20.98050866","21.69423747","22.63858388","23.48274971","21.82772422","21.72810142","22.84243478","24.46052564","21.68986699","20.94465416","21.69852668","23.9729813","21.36301087","21.05618889","21.31170543","22.73481352","32.0","19.90937644","21.23442748","23.58271318","20.61312432","20.71375831","21.49473964","22.81274269","20.26191892","19.83948315","20.63090698","22.11517635","19.89513667","20.66205747","27.6336036","22.2375447","19.17701313","20.08121577","21.7730746","21.78849206","19.58332215","18.81221729","20.33375","33.09607143","21.31909091","20.41556159"
"UP","6.275670588","7.57371248","4.9346586","5.529991961","6.108957055","7.228408163","5.109671593","5.139657763","5.333197056","7.102653584","4.379524302","4.50774744","5.183226095","6.527788378","4.027492163","4.356912929","4.954968666","6.253181377","3.790448718","4.573883495","6.05","6.538976143","4.250911736","4.71869934","5.453794984","6.492212121","5.744146597","5.500238342","5.936545842","7.114591948","5.021914226","4.747432836","5.309807107","6.777161484","5.10876161","5.334455852","6.230153846","7.651325301","5.61202","5.826486752","6.373403827","7.81952381","5.843492063","6.895995935","7.233544974","8.200800416","6.1856711","6.471859649","7.41944086","8.734228751","5.114772992","5.711046512","6.469843924","8.060090498","6.652007255","6.657159353","6.778748496","8.428206452","6.359154589","6.141263941","6.564117647","7.5825","5.205256588","5.855110533","6.153001311","7.943995098","5.605","6.085198238","6.578903654","7.480551378","4.996384522","5.543856287","5.670922722","7.290267857","5.862105897","7.837142857","6.3596875","7.20814059","6.362869353","7.272066421","8.683211009","8.632214386","6.146549708","6.633660131","7.225455568","8.332583222","6.485214866","6.896053269","7.386564039","9.464545455","6.264715719","6.112930233"
"AN","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","1.699275362","null","1.06453125","null","2.965492958","null","1.703823529","null","2.374464286","null","1.254920635","null","2.684920635","null","1.334347826","null","2.261764706","null","1.019032258","null","1.189710145","null","1.154117647"
