Date,Season,Shahpur,Shorapur,Yadgir,Shahpur_Trend,Shahpur_SMA,Shahpur_EWMA,Shahpur_DES,Shahpur_TES,Shahpur_ARIMA,Shorapur_Trend,Shorapur_SMA,Shorapur_EWMA,Shorapur_DES,Shorapur_TES,Shorapur_ARIMA,Yadgir_Trend,Yadgir_SMA,Yadgir_EWMA,Yadgir_DES,Yadgir_TES,Yadgir_ARIMA
2006-05-31,PREMON,6.71,3.7809090909090894,10.566666666666665,5.380909090909091,5.82825174825175,6.061428156688482,5.980586747082234,7.426486299424107,6.55827946484971,3.9510189393939394,4.121631118881122,4.254739333285949,4.230695638157996,5.3692005747933385,5.454187470051303,9.810666666666664,8.699916666666663,9.359284446211472,9.349988499099826,10.602747379766608,11.261980285797822
2006-08-31,MONSOON,4.129090909090909,2.998,12.0025,5.188977272727272,5.440909090909093,5.288493257649453,5.240845973872094,5.091263413962049,5.50040469556747,3.6539891774891777,3.9874772727272756,3.752043599971569,4.0543714246182265,4.107121978314969,3.7094434731789416,10.863416666666666,9.031791666666663,10.416570667726884,9.844712146585,8.572490070793217,9.449677481593566
2006-11-30,POMKH,5.2290909090909095,3.3233333333333337,10.785,5.124366883116884,5.320909090909094,5.264732318226036,5.084994696399797,4.641502175340046,4.9479151227213025,3.4476791125541126,3.914560606060609,3.5805594933162745,3.936649267090328,3.410952947928529,3.153321309761154,11.295386904761905,10.589541666666662,10.56394240063613,10.019225830583435,8.956377399723651,8.263215933665908
2007-02-28,POMRB,4.159999999999998,3.4714285714285715,11.195,5.212938311688312,5.057045454545457,4.822839390935621,4.569650703843081,5.462345741605581,4.929319371561814,3.595940476190476,3.3934177489177513,3.5369071245611936,3.8490923305614606,3.9278994604137054,4.296710695850314,11.131205357142857,11.137291666666663,10.816365440381677,10.23774680578475,11.14367268784831,10.656667594172188
2007-05-31,PREMON,7.248571428571429,4.215,11.831428571428573,5.084301948051948,5.1916883116883135,5.793132205989944,5.463578870918193,6.742199197635755,6.126896904954852,3.644690476190476,3.501940476190479,3.808144274736716,3.880670265503998,5.1583347501762375,4.454039997231748,10.331053571428571,11.45348214285714,11.222390692800435,10.534377675951612,13.124203673920189,12.203814113130932
2007-08-31,MONSOON,4.299090909090909,3.75,9.424285714285713,5.029030969030969,5.234188311688313,5.19551568723033,5.032967792437864,4.75659643010174,4.325245650154793,3.6231011904761905,3.689940476190478,3.7848865648420293,3.8424652095540366,3.9397644484379577,3.737924867761576,9.65505357142857,10.80892857142857,10.503148701394545,10.325428608978688,10.509680775955442,11.23439597483834
2007-11-30,POMKH,4.03,2.9613333333333336,6.961999999999999,5.074017232767233,4.934415584415586,4.729309412338198,4.5656293606729195,4.45112149084018,5.202824945728246,3.7464940476190476,3.5994404761904777,3.455465272238551,3.689766352813847,3.3056145835100175,3.439085640620476,9.036392857142857,9.853178571428568,9.086689220836726,9.695187173986753,8.794254396741959,6.259646848610453
2008-02-29,POMRB,4.916923076923077,3.6607142857142856,9.61,5.174790209790209,5.123646353646356,4.80435487817215,4.56150763585832,4.983570789970395,3.588710171085529,3.8521190476190483,3.646761904761906,3.537564877628845,3.653761936434511,3.8052468956686827,4.033283464267536,8.638863095238094,9.456928571428568,9.296013532502036,9.677981331264434,9.279525330225836,9.461194711862989
2008-05-31,PREMON,6.851538461538461,5.012857142857143,8.467142857142857,5.424120879120879,5.024388111888113,5.623228311518675,5.411674684330947,6.616715229139413,7.417198155574614,3.9895760073260074,3.846226190476192,4.127681783720164,3.8273230686700423,5.056725306427499,4.476786128145836,9.033285714285714,8.615857142857138,8.964465262358363,9.450307960997318,11.389838223720535,10.627248297785444
2008-08-31,MONSOON,5.502307692307691,3.7971428571428576,9.608333333333333,5.723612637362637,5.3251923076923084,5.574860063834281,5.581003570244089,4.553475522003426,4.094190095201386,4.16893543956044,3.8580119047619066,3.9954662130892418,3.8100569210542288,3.898832342119157,4.012446423758088,9.637202380952381,8.661869047619042,9.222012490748352,9.478609307762328,8.017528601609442,9.13510170862981
2008-11-30,POMKH,4.821428571428571,4.013846153846154,9.933333333333334,6.093537087912088,5.5230494505494505,5.273487466871997,5.405304299452945,4.650078122851017,4.485268064636113,4.3452197802197805,4.121140109890112,4.0028181893920065,3.8277915031902694,3.270623947787983,3.374825052252741,10.320773809523809,9.404702380952378,9.506540827782345,9.562382456339986,7.546327916834757,8.229759041991077
2009-02-28,POMRB,6.5214285714285705,4.043076923076924,11.47,6.204436813186812,5.9241758241758244,5.772663908694627,5.946113227334848,5.35191750647378,5.165989809127746,4.563585164835166,4.216730769230772,4.018921682865974,3.8502007067762567,3.84361842275826,4.331541990754356,10.800803571428572,9.869702380952377,10.291924496669406,9.917800804632398,9.993227980487788,10.666471686924856
2009-05-31,PREMON,8.206428571428571,6.040769230769232,12.075714285714286,6.082225274725276,6.262898351648352,6.746169773788204,7.13769016226473,7.338484657704479,7.405939624167734,4.529647435897437,4.473708791208794,4.827660702027277,4.177163124763186,5.118302214330275,4.692922498148695,10.559345238095238,10.771845238095235,11.005440412287358,10.31997164380845,12.636480387929444,10.629027779441117
2009-08-31,MONSOON,5.034615384615387,4.516153846153847,9.84,5.8355288461538475,6.145975274725276,6.061548018119078,6.735818914476823,5.456256672345542,6.012122562210568,4.310761217948719,4.65346153846154,4.7030579596779045,4.255798159415826,4.025597492321295,4.328908738160149,9.978511904761904,10.829761904761902,10.539264247372415,10.228868223411128,10.36228499802283,10.264294961816319
2009-11-30,POMKH,4.3114285714285705,3.023333333333333,7.769999999999999,5.5108859890109905,6.018475274725276,5.361500239442875,5.989675239593345,5.161035459461589,4.549382298720339,4.034447115384616,4.4058333333333355,4.031168109140076,4.100610007272921,3.437341555522184,3.7246828603286053,9.507589285714285,10.288928571428567,9.43155854842345,9.767770612686226,8.908661198675162,8.309205772445853
2010-02-28,POMRB,5.057857142857143,3.2825,8.986666666666666,5.143901098901099,5.652582417582419,5.2400430008085825,5.625092992981049,5.570979080159384,6.17372469198539,3.729831730769231,4.215689102564104,3.7317008654840453,3.9902677281730847,3.9322701387466648,3.9412693441853275,8.963958333333332,9.668095238095233,9.253601795720737,9.620435457602849,9.716399266734966,9.842908909036103
